jurusanlama,nilai1,nilai2,tbsm,tkj,ipa,titl,ips,akt,rpl,tkro,mm,pem,dpib,meka,jurusan
4,0.6000000000000001,0.5357142857142856,0,0,0,0,1,0,0,0,0,0,0,0,3
3,0.6400000000000001,0.5357142857142856,0,0,1,0,0,0,0,0,0,0,0,0,2
7,0.8,0.964285714285714,0,0,0,0,0,0,1,0,0,0,0,0,2
3,0.7,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.8,0.5714285714285712,0,0,1,0,0,0,0,0,0,0,0,0,3
1,0.9199999999999999,0.17857142857142838,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0.7,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0.40000000000000013,0.35714285714285676,0,0,1,0,0,0,0,0,0,0,0,0,2
2,0.6000000000000001,0.35714285714285676,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0.6600000000000001,0.6071428571428568,0,0,1,0,0,0,0,0,0,0,0,0,2
3,0.72,0.714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,1
12,0.6000000000000001,0.35714285714285676,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0.6000000000000001,0.9285714285714284,0,0,1,0,0,0,0,0,0,0,0,0,2
